,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_random,sen1_random,sen2_random,sen3_random
11,11,fiction,Just because it's fiction doesn't mean you can't learn from it.,His characteristics in his prose fiction and descriptive work are not very different from those of his poetry.,"It was a kind of fiction, a work of the imagination only, so far as he was concerned.",noise,novel,documentary,orzxqsg,Just because it's orzxqsg doesn't mean you can't learn from it.,His characteristics in his prose orzxqsg and descriptive work are not very different from those of his poetry.,"It was a kind of orzxqsg, a work of the imagination only, so far as he was concerned."
12,12,benign,"It sounds pretty benign, Howie.",Most of them are benign and do not need treatment.,"Of course you want to make sure your family is protected from a potential health risk, but at the same time, you don't want to waste your time and resources avoiding something that is really benign.",rampant,curable,baleful,pivqxl,"It sounds pretty pivqxl, Howie.",Most of them are pivqxl and do not need treatment.,"Of course you want to make sure your family is protected from a potential health risk, but at the same time, you don't want to waste your time and resources avoiding something that is really pivqxl."
13,13,block,Yes. I'm sorry so many buildings are gone but that one block is enough.,She leaned over and picked up a block of wood.,I walked down the entire block but there weren't any people.,wing,street,passage,ijvzf,Yes. I'm sorry so many buildings are gone but that one ijvzf is enough.,She leaned over and picked up a ijvzf of wood.,I walked down the entire ijvzf but there weren't any people.
14,14,deadline,I can't forget your deadline.,I don't mean monsters are chasing me but I have a deadline or there's some unfinished business.,All written work must be submitted by the agreed deadline.,loss,start,target,dtwuqhiy,I can't forget your dtwuqhiy.,I don't mean monsters are chasing me but I have a dtwuqhiy or there's some unfinished business.,All written work must be submitted by the agreed dtwuqhiy.
15,15,adhere,All drivers must adhere to speed limits.,It is wise to adhere to the rules of your parents.,"If your skin is wet, the bandage may not adhere well.",convert,follow,loosen,gaqbfh,All drivers must gaqbfh to speed limits.,It is wise to gaqbfh to the rules of your parents.,"If your skin is wet, the bandage may not gaqbfh well."
16,16,confine,But he did not confine his attention to abstract inquiries.,"With few and early exceptions, such as we may note in the Epistle of Barnabas, chap. i., they confine the word to doctrine.","For the present we confine ourselves to the consideration of displacements in two dimensions, so that the body is adequately represented by a thin lamina or plate.",spill,constrain,release,lpyjnho,But he did not lpyjnho his attention to abstract inquiries.,"With few and early exceptions, such as we may note in the Epistle of Barnabas, chap. i., they lpyjnho the word to doctrine.","For the present we lpyjnho ourselves to the consideration of displacements in two dimensions, so that the body is adequately represented by a thin lamina or plate."
17,17,decline,She was inclined to decline his offer.,I tried to decline but he insisted I eat so I complied.,Friends and relations advised Nicholas to decline the inheritance.,determine,refuse,approve,qnjlxfr,She was inclined to qnjlxfr his offer.,I tried to qnjlxfr but he insisted I eat so I complied.,Friends and relations advised Nicholas to qnjlxfr the inheritance.
18,18,alter,"It's a tiny secret, one that may not alter much of anything.",He pronounced the words that would forever alter her life.,Man himself cannot increase the sum of motion; he can only alter its direction.,imply,change,fix,fdvok,"It's a tiny secret, one that may not fdvok much of anything.",He pronounced the words that would forever fdvok her life.,Man himself cannot increase the sum of motion; he can only fdvok its direction.
19,19,convenience,"This triangle, for the convenience of calculation, we divide into two right-angled triangles.","I will honor my end of the bargain at my convenience, not yours!","There is a small hotel on the summit for the convenience of tourists, especially of those anxious to witness sunrise.",egg,expedience,burden,vbqdxgmlzje,"This triangle, for the vbqdxgmlzje of calculation, we divide into two right-angled triangles.","I will honor my end of the bargain at my vbqdxgmlzje, not yours!","There is a small hotel on the summit for the vbqdxgmlzje of tourists, especially of those anxious to witness sunrise."
20,20,circulation,The sub-surface circulation in the Atlantic may be regarded as consisting of two parts.,He tested her foot for circulation.,The wind circulation over the Atlantic is of a very definite character.,temper,cycle,blockage,xveiyudkfan,The sub-surface xveiyudkfan in the Atlantic may be regarded as consisting of two parts.,He tested her foot for xveiyudkfan.,The wind xveiyudkfan over the Atlantic is of a very definite character.
21,21,anatomy,These look like something a college anatomy class used__ast week.,But his expectations from the study of anatomy and physiology went a long way.,Matthew was so fascinated with his anatomy class in high school that he decided to study kinesics in college.,nation,dissection,connection,fnwyujp,These look like something a college fnwyujp class used__ast week.,But his expectations from the study of fnwyujp and physiology went a long way.,Matthew was so fascinated with his fnwyujp class in high school that he decided to study kinesics in college.
22,22,corrosive,The salt is a corrosive irritant poison when taken internally.,"A good palliative is sweet oil; this will allay any corrosive irritation of the throat and stomach, and at the same time cause vomiting.","It reacts with moisture to form hydrogen fluoride, a highly corrosive acid.",obedient,rusty,anodyne,ehatofdlc,The salt is a ehatofdlc irritant poison when taken internally.,"A good palliative is sweet oil; this will allay any ehatofdlc irritation of the throat and stomach, and at the same time cause vomiting.","It reacts with moisture to form hydrogen fluoride, a highly ehatofdlc acid."
23,23,directory,"Discords arose between the Vatican and the French Republic, and it is clear that Napoleon and the French Directory ordered Joseph to encourage revolutionary movements in Rome.","He took no part in public affairs under the directory, the consulate or the empire, and in 1816 was banished as a regicide.","An act of Assembly on the 3rd of February and an act of parliament on the 6th of February ordered its use in every church, and henceforth, though there was no act setting aside the ""Book of Common Order,"" the Westminster Directory was of primary authority.",twig,advisory,mess,yjcasznmq,"Discords arose between the Vatican and the French Republic, and it is clear that Napoleon and the French yjcasznmq ordered Joseph to encourage revolutionary movements in Rome.","He took no part in public affairs under the yjcasznmq, the consulate or the empire, and in 1816 was banished as a regicide.","An act of Assembly on the 3rd of February and an act of parliament on the 6th of February ordered its use in every church, and henceforth, though there was no act setting aside the ""Book of Common Order,"" the Westminster yjcasznmq was of primary authority."
24,24,devoid,Most of the time his tone was devoid of any emotion.,"Her knees were trembling as if they were going to give way at any moment, and her face felt devoid of blood.",In the same way we can never imagine the action of a man quite devoid of freedom and entirely subject to the law of inevitability.,astonishing,scarce,filled,wmsfgz,Most of the time his tone was wmsfgz of any emotion.,"Her knees were trembling as if they were going to give way at any moment, and her face felt wmsfgz of blood.",In the same way we can never imagine the action of a man quite wmsfgz of freedom and entirely subject to the law of inevitability.
25,25,downtown,The woman she saw in downtown Atlanta had reacted to her the same way.,"Later the system was extended to connect with the Erie and Pennsylvania terminals in Jersey City, and in 1909 the tunnel under the Hudson river to downtown New York was finished.","Besides the numerous attractions in downtown Chicago, you can stay near the outlet mall and visit places like the Air Classics Museum of Aviation in Sugar Grove, The Morton Arboretum in Lisle, the SciTech Hands on Museum in Aurora and more.",existence,center,countryside,myagjupb,The woman she saw in myagjupb Atlanta had reacted to her the same way.,"Later the system was extended to connect with the Erie and Pennsylvania terminals in Jersey City, and in 1909 the tunnel under the Hudson river to myagjupb New York was finished.","Besides the numerous attractions in myagjupb Chicago, you can stay near the outlet mall and visit places like the Air Classics Museum of Aviation in Sugar Grove, The Morton Arboretum in Lisle, the SciTech Hands on Museum in Aurora and more."
26,26,animation,"His first unconscious feeling of joyful animation produced by the sights and sounds of the battlefield was now replaced by another, especially since he had seen that soldier lying alone in the hayfield.",Identify the steps to create an animation Insert an audio file.,"In the suras of the second period the imaginative glow perceptibly diminishes; there is still fire and animation, but the tone becomes gradually more prosaic.",nose,vitality,depression,xgvyntrbe,"His first unconscious feeling of joyful xgvyntrbe produced by the sights and sounds of the battlefield was now replaced by another, especially since he had seen that soldier lying alone in the hayfield.",Identify the steps to create an xgvyntrbe Insert an audio file.,"In the suras of the second period the imaginative glow perceptibly diminishes; there is still fire and xgvyntrbe, but the tone becomes gradually more prosaic."
27,27,devise,I prefer to use this app because it allows me to devise my own music playlists.,The engineers' newest project is to devise a more efficient water filtration system.,The purpose of this meeting is to devise a strategy for our company to pay off its debt.,digest,design,destroy,upwijg,I prefer to use this app because it allows me to upwijg my own music playlists.,The engineers' newest project is to upwijg a more efficient water filtration system.,The purpose of this meeting is to upwijg a strategy for our company to pay off its debt.
28,28,certificate,He even had a birth certificate for me.,"After two years he took the degree of Ph.D., and in the autumn of 1793 received his theological certificate, stating him to be of good abilities, but of middling industry and knowledge, and especially deficient in philosophy.",Coming from such an authority the certificate may be held to confirm the substantial accuracy of Walpole.,statement,license,breach,dxertfhyong,He even had a birth dxertfhyong for me.,"After two years he took the degree of Ph.D., and in the autumn of 1793 received his theological dxertfhyong, stating him to be of good abilities, but of middling industry and knowledge, and especially deficient in philosophy.",Coming from such an authority the dxertfhyong may be held to confirm the substantial accuracy of Walpole.
29,29,chill,There was a chill in the breeze now.,A cold chill washed over him.,"While she sounded relieved, there was a chill in the air like opening the door, expecting warm sunshine and forgetting it's December.",throne,cold,heat,rcltj,There was a rcltj in the breeze now.,A cold rcltj washed over him.,"While she sounded relieved, there was a rcltj in the air like opening the door, expecting warm sunshine and forgetting it's December."
30,30,engine,"He waited to hear an engine start, ready to pounce.","I felt the hot breath from the engine on my face, and the smoke and ashes almost choked us.",The engine turned over once and then headlights blinded her until he turned the car around.,caption,instrument,end,rjtaxu,"He waited to hear an rjtaxu start, ready to pounce.","I felt the hot breath from the rjtaxu on my face, and the smoke and ashes almost choked us.",The rjtaxu turned over once and then headlights blinded her until he turned the car around.
31,31,durable,It is not as durable as round rope and is heavier for the same working strength.,"When well prepared for use, larch is one of the most durable of coniferous woods.","Used as carriage rugs and floor rugs, most durable for latter purpose and of fine effect.",frantic,sustained,delicate,apdmebv,It is not as apdmebv as round rope and is heavier for the same working strength.,"When well prepared for use, larch is one of the most apdmebv of coniferous woods.","Used as carriage rugs and floor rugs, most apdmebv for latter purpose and of fine effect."
32,32,essence,The essence of my car is that it takes me places I want to go.,It is the very essence of the soul.,"All that we know of the external world of nature is only a certain relation of the forces of nature to inevitability, or of the essence of life to the laws of reason.",veil,substance,exterior,cgejhpa,The cgejhpa of my car is that it takes me places I want to go.,It is the very cgejhpa of the soul.,"All that we know of the external world of nature is only a certain relation of the forces of nature to inevitability, or of the cgejhpa of life to the laws of reason."
33,33,deteriorate,"She thought she was going crazy already; if she really started to deteriorate, there was no way she'd be able to handle it.","The ventilation of pillar working is often attended with difficulty, and the coal is longer exposed to the influence of the air, a point of importance in some coals, which deteriorate in quality when exposed to a hot damp atmosphere.",Isn't that one of the signs I'm starting to deteriorate?,measure,exasperate,improve,sfuhiprqyzk,"She thought she was going crazy already; if she really started to sfuhiprqyzk, there was no way she'd be able to handle it.","The ventilation of pillar working is often attended with difficulty, and the coal is longer exposed to the influence of the air, a point of importance in some coals, which sfuhiprqyzk in quality when exposed to a hot damp atmosphere.",Isn't that one of the signs I'm starting to sfuhiprqyzk?
34,34,cohesion,"Resistance, again, is explained by cohesion, which implies binding force.",Support arts in the community to strengthen community cohesion.,"Under such conditions, he believed, social integration required a particular kind of cultural cohesion that would be in harmony with social structures.",idea,combination,discord,qlsahwmy,"Resistance, again, is explained by qlsahwmy, which implies binding force.",Support arts in the community to strengthen community qlsahwmy.,"Under such conditions, he believed, social integration required a particular kind of cultural qlsahwmy that would be in harmony with social structures."
35,35,glare,The boom of thunder and a bright glare made her eyes open.,He stumbled the last few steps onto the road and into a glare of lights and buzz of activity.,Solar physics has profited enormously by the abolition of glare during total eclipses.,burst,dazzle,darkness,rkyex,The boom of thunder and a bright rkyex made her eyes open.,He stumbled the last few steps onto the road and into a rkyex of lights and buzz of activity.,Solar physics has profited enormously by the abolition of rkyex during total eclipses.
36,36,completion,On the completion of their contract my father received instructions to sell by public auction the whole of their plant.,"This building, the date of which is not yet finally settled, though its excavator believes it to be of the Old Kingdom like the temple of the Sphinx at Giza, is one of the most remarkable in Egypt, and the completion of its excavation is much to be desired.",The completion in October 1905 of a railway putting Maseru in connexion with the South African railway system proved a great boon to the community.,motion,implementation,commencement,kbajcxqfhi,On the kbajcxqfhi of their contract my father received instructions to sell by public auction the whole of their plant.,"This building, the date of which is not yet finally settled, though its excavator believes it to be of the Old Kingdom like the temple of the Sphinx at Giza, is one of the most remarkable in Egypt, and the kbajcxqfhi of its excavation is much to be desired.",The kbajcxqfhi in October 1905 of a railway putting Maseru in connexion with the South African railway system proved a great boon to the community.
37,37,flap,As the bird has short stubby wings it has to flap them so vigorously that they become almost invisible.,"They all sit down, flap their arms and make jet swooshing sounds as if they are flying.",The burnt remains of the tent flap in the wind.,pluck,flutter,soothe,vtcx,As the bird has short stubby wings it has to vtcx them so vigorously that they become almost invisible.,"They all sit down, vtcx their arms and make jet swooshing sounds as if they are flying.",The burnt remains of the tent vtcx in the wind.
38,38,apparent,"In this way, she learns countless new expressions without any apparent effort.","Feeling a little hurt by his apparent disinterest, she picked up her plate and started cleaning up the camp.",But although the Munchkin was hardly tall enough to come to Zeb's shoulder he was so strong and clever that he laid the boy three times on his back with apparent ease.,forgetful,patent,literal,unydcloz,"In this way, she learns countless new expressions without any unydcloz effort.","Feeling a little hurt by his unydcloz disinterest, she picked up her plate and started cleaning up the camp.",But although the Munchkin was hardly tall enough to come to Zeb's shoulder he was so strong and clever that he laid the boy three times on his back with unydcloz ease.
39,39,beak,"This odd animal is provided with a bill or beak, which is not, like that of a bird, affixed to the skeleton, but is merely attached to the skin and muscles.","The beak is large, strong and sharp-edged, the upper mandible terminating in a large hook; the wings are narrow and very long; the feet have no hind toe, and the three anterior toes are completely webbed.","He rides on the Garuda, half man and half bird, having the head, wings, beak and talons of an eagle, and human body and limbs, its face being white, its wings red and its body golden.",rice,nib,coin,gima,"This odd animal is provided with a bill or gima, which is not, like that of a bird, affixed to the skeleton, but is merely attached to the skin and muscles.","The gima is large, strong and sharp-edged, the upper mandible terminating in a large hook; the wings are narrow and very long; the feet have no hind toe, and the three anterior toes are completely webbed.","He rides on the Garuda, half man and half bird, having the head, wings, gima and talons of an eagle, and human body and limbs, its face being white, its wings red and its body golden."
40,40,alloy,"The alloy with 12% of silicon is white, hard and brittle.",Sometimes the whole alloy is a uniform solid solution.,The alloy of silver and copper is called sterling silver.,frog,metal,element,osqbh,"The osqbh with 12% of silicon is white, hard and brittle.",Sometimes the whole osqbh is a uniform solid solution.,The osqbh of silver and copper is called sterling silver.
41,41,analysis,"After careful analysis, he decided not to go.","The analysis must be deeper, if we are to gain any further conclusions.",He needed to brush up on his analysis techniques.,behavior,measurement,ignorance,mkhfzsjr,"After careful mkhfzsjr, he decided not to go.","The mkhfzsjr must be deeper, if we are to gain any further conclusions.",He needed to brush up on his mkhfzsjr techniques.
42,42,behavior,"Darcie couldn't stand the gossip and rude behavior in every town, so she finally went back to the Indians.","But in spite of his aggressive behavior, she felt safe with him.","They were a conservative family, and Mums said Lori's behavior when she was young was forgivable.",opinion,temper,absence,udaihvey,"Darcie couldn't stand the gossip and rude udaihvey in every town, so she finally went back to the Indians.","But in spite of his aggressive udaihvey, she felt safe with him.","They were a conservative family, and Mums said Lori's udaihvey when she was young was forgivable."
43,43,enterprising,"Valiant, enterprising, pious as he was, all these fine qualities were ruined by a reckless good nature which never thought of the morrow.",All these factors make businesses more enterprising and popular.,"Fashion is an active market, and with enterprising and creative students flooding into design schools it's no surprise that a few years later each young designer wants to hit the market with his own concepts.",merciful,promising,diffident,bjweoldvpany,"Valiant, bjweoldvpany, pious as he was, all these fine qualities were ruined by a reckless good nature which never thought of the morrow.",All these factors make businesses more bjweoldvpany and popular.,"Fashion is an active market, and with bjweoldvpany and creative students flooding into design schools it's no surprise that a few years later each young designer wants to hit the market with his own concepts."
44,44,genuine,"Were his comments genuine, or simply a way to get her to like him?",Sarah asked the question with genuine interest.,"She was genuine, straightforward, and sweet.",sulky,sincere,fake,nqrwdfm,"Were his comments nqrwdfm, or simply a way to get her to like him?",Sarah asked the question with nqrwdfm interest.,"She was nqrwdfm, straightforward, and sweet."
45,45,decade,"Then there can be a week, a month, a year, a decade, and a century without war.","It had only been two years, but it felt like a decade.",The following decade was the most active of the city's history as regards the ocean carrying trade.,flavor,decennium,winter,inpzcj,"Then there can be a week, a month, a year, a inpzcj, and a century without war.","It had only been two years, but it felt like a inpzcj.",The following inpzcj was the most active of the city's history as regards the ocean carrying trade.
46,46,barrel,I stuffed it in a trash bag and put it in the burn barrel.,"The sucker carries a series of three or four leather cups, which are pressed against the inner surface of the working barrel by the weight of the column of oil.","One hundred percent Syrah from 45 year old vines, with traditional vinification and 15 months barrel aging.",gate,bucket,lack,cmbswh,I stuffed it in a trash bag and put it in the burn cmbswh.,"The sucker carries a series of three or four leather cups, which are pressed against the inner surface of the working cmbswh by the weight of the column of oil.","One hundred percent Syrah from 45 year old vines, with traditional vinification and 15 months cmbswh aging."
47,47,concrete,I need concrete evidence before I'm a believer and I don't see that on the horizon.,"They had no abstract ideas; in their minds all was concrete, visible and tangible.",But a religion could not permanently subsist in this world of space and time without some external concrete embodiment.,short,substantial,hypothetical,lcnroski,I need lcnroski evidence before I'm a believer and I don't see that on the horizon.,"They had no abstract ideas; in their minds all was lcnroski, visible and tangible.",But a religion could not permanently subsist in this world of space and time without some external lcnroski embodiment.
48,48,fort,Inversnaid was the site of a fort built in 1713 to reduce the clan to subjection.,"In 1764 the province was overrun by Hyder Ali of Mysore, who in 1778 captured the fort of Dharwar.","At the eastern entrance is the fort of St Elmo, with a lighthouse.",hook,tower,ditch,rkew,Inversnaid was the site of a rkew built in 1713 to reduce the clan to subjection.,"In 1764 the province was overrun by Hyder Ali of Mysore, who in 1778 captured the rkew of Dharwar.","At the eastern entrance is the rkew of St Elmo, with a lighthouse."
49,49,disorder,"But the whole mass of bones is in hopeless disorder, apparently without any record of association.",The disorder of Rebecca's bedroom made her mother very upset.,"In Rome the popes authority weakened day by day, and disorder increased.",north,chaos,conformity,clndkrqb,"But the whole mass of bones is in hopeless clndkrqb, apparently without any record of association.",The clndkrqb of Rebecca's bedroom made her mother very upset.,"In Rome the popes authority weakened day by day, and clndkrqb increased."
50,50,craft,"The craft door opened, and a figure strode out.","Kiera had bathed in the bathroom in the back of the craft, but it was too small to have a clothing unit.",She has practised no single constructive craft which would call for the use of her hands.,tramp,ship,recreation,piluh,"The piluh door opened, and a figure strode out.","Kiera had bathed in the bathroom in the back of the piluh, but it was too small to have a clothing unit.",She has practised no single constructive piluh which would call for the use of her hands.
51,51,alkali,This treatment with acid and alkali is usually effected by agitation with compressed air.,"If an alkali is added, however, a highly dissociated salt of para-nitrophenol is formed, and the yellow colour is at once evident.","Soap when dissolved in a large amount of water suffers hydrolysis, with formation of a precipitate of acid salt and a solution containing free alkali.",cattle,base,vinegar,hqrfzv,This treatment with acid and hqrfzv is usually effected by agitation with compressed air.,"If an hqrfzv is added, however, a highly dissociated salt of para-nitrophenol is formed, and the yellow colour is at once evident.","Soap when dissolved in a large amount of water suffers hydrolysis, with formation of a precipitate of acid salt and a solution containing free hqrfzv."
52,52,electricity,"That great separation of positive and negative electricity sometimes takes place during rainfall is undoubted, and the charge brought to the ground seems preponderatingly negative.",Their land phone was dependent on electricity.,Twenty-five percent of all of the electricity used in the restaurant is generated by the sun.,jewel,power,petroleum,ibxqplnyeft,"That great separation of positive and negative ibxqplnyeft sometimes takes place during rainfall is undoubted, and the charge brought to the ground seems preponderatingly negative.",Their land phone was dependent on ibxqplnyeft.,Twenty-five percent of all of the ibxqplnyeft used in the restaurant is generated by the sun.
53,53,geology,"There are museums of mineralogy and geology, a lower school of mining, model room and scientific library.",Studying geology can help teach us the history of the land.,"As a kid, I loved rocks _ I guess it was a sign I would study geology in college.",dress,geognosy,astronomy,tgoqpwl,"There are museums of mineralogy and tgoqpwl, a lower school of mining, model room and scientific library.",Studying tgoqpwl can help teach us the history of the land.,"As a kid, I loved rocks _ I guess it was a sign I would study tgoqpwl in college."
54,54,applaud,I can only applaud this man's ability to deduce.,The spectators applaud or hiss according as they make their bow well or ill.,"Some people take offense at financial registries, while others applaud the innovation of it.",replace,blast,praise,eorjpvm,I can only eorjpvm this man's ability to deduce.,The spectators eorjpvm or hiss according as they make their bow well or ill.,"Some people take offense at financial registries, while others eorjpvm the innovation of it."
55,55,fashion,The two young women chatted endlessly about the latest fashion in Paris and the boys who were attracted to them.,She continued in that fashion until she was a good fifteen feet off the ground.,"The old man was as nattily attired in his customary fashion, but his eyes betrayed his lack of sleep.",impulse,style,departure,cgejzfw,The two young women chatted endlessly about the latest cgejzfw in Paris and the boys who were attracted to them.,She continued in that cgejzfw until she was a good fifteen feet off the ground.,"The old man was as nattily attired in his customary cgejzfw, but his eyes betrayed his lack of sleep."
56,56,gradual,It is only by a gradual process that social science in its whole complexity can be evolved.,"At the same time, apart from the gradual evolution of religious and other conceptions there are the more incidental and artificial influences which have shaped them.","Their conquests were rapid, but the extension of their permanent settlements was gradual and slow.",toothsome,piecemeal,abrupt,rapuqjz,It is only by a rapuqjz process that social science in its whole complexity can be evolved.,"At the same time, apart from the rapuqjz evolution of religious and other conceptions there are the more incidental and artificial influences which have shaped them.","Their conquests were rapid, but the extension of their permanent settlements was rapuqjz and slow."
57,57,congress,"In 1896 a bill was passed by congress, which authorized the state by the issue of national bonds to assume the provincial external indebtedness.","There was a struggle between the two branches of government, the Executive and Congress.","Application for admission to the Union was now made to Congress, and on the 31st of December 186 2 an enabling act was approved by President Lincoln admitting the state on the condition that a provision for the gradual abolition of slavery be inserted in the Constitution.",stew,parliament,division,blstahqk,"In 1896 a bill was passed by blstahqk, which authorized the state by the issue of national bonds to assume the provincial external indebtedness.","There was a struggle between the two branches of government, the Executive and blstahqk.","Application for admission to the Union was now made to blstahqk, and on the 31st of December 186 2 an enabling act was approved by President Lincoln admitting the state on the condition that a provision for the gradual abolition of slavery be inserted in the Constitution."
58,58,curiosity,"He leaned forward, curiosity growing.","Is your fit of curiosity satisfied, or do you have some more questions?","She could have left then, and might have if curiosity hadn't gotten the best of her.",scent,interest,apathy,sgyuxbvom,"He leaned forward, sgyuxbvom growing.","Is your fit of sgyuxbvom satisfied, or do you have some more questions?","She could have left then, and might have if sgyuxbvom hadn't gotten the best of her."
59,59,contain,Fred could hardly contain his excite­ment.,"She laughed, unable to contain the emotion bubbling within her.",It's gotta be huge to contain all those people.,thump,involve,omit,hcuoaej,Fred could hardly hcuoaej his excite­ment.,"She laughed, unable to hcuoaej the emotion bubbling within her.",It's gotta be huge to hcuoaej all those people.
60,60,exterior,Jessi reached the door to the exterior.,"Certain cells of the exterior are set apart for absorption of water from the soil, this being the source from which supplies are derived.","She jumped, unaware she'd ruffled him despite the calm exterior.",wax,outside,core,jzseihpo,Jessi reached the door to the jzseihpo.,"Certain cells of the jzseihpo are set apart for absorption of water from the soil, this being the source from which supplies are derived.","She jumped, unaware she'd ruffled him despite the calm jzseihpo."
61,61,accuracy,The accuracy of heats of combustion determined in the closed calorimeter is in favourable cases about one-half per cent.,"Since Faraday's time his laws have been confirmed by modern research, and in favourable cases have been shown to hold good with an accuracy of at least one part in a thousand.","While determining its atomic weight, he thought it desirable, for the sake of accuracy, to weigh it in a vacuum, and even in these circumstances he found that the balance behaved in an anomalous manner, the metal appearing to be heavier when cold than when hot.",locket,falsehood,precision,pfrgkjva,The pfrgkjva of heats of combustion determined in the closed calorimeter is in favourable cases about one-half per cent.,"Since Faraday's time his laws have been confirmed by modern research, and in favourable cases have been shown to hold good with an pfrgkjva of at least one part in a thousand.","While determining its atomic weight, he thought it desirable, for the sake of pfrgkjva, to weigh it in a vacuum, and even in these circumstances he found that the balance behaved in an anomalous manner, the metal appearing to be heavier when cold than when hot."
