,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_replace_pre_suffix,sen1_replace_pre_suffix,sen2_replace_pre_suffix,sen3_replace_pre_suffix
23,23,directory,"Discords arose between the Vatican and the French Republic, and it is clear that Napoleon and the French Directory ordered Joseph to encourage revolutionary movements in Rome.","He took no part in public affairs under the directory, the consulate or the empire, and in 1816 was banished as a regicide.","An act of Assembly on the 3rd of February and an act of parliament on the 6th of February ordered its use in every church, and henceforth, though there was no act setting aside the ""Book of Common Order,"" the Westminster Directory was of primary authority.",twig,advisory,mess,homrecaire,"Discords arose between the Vatican and the French Republic, and it is clear that Napoleon and the French homrecaire ordered Joseph to encourage revolutionary movements in Rome.","He took no part in public affairs under the homrecaire, the consulate or the empire, and in 1816 was banished as a regicide.","An act of Assembly on the 3rd of February and an act of parliament on the 6th of February ordered its use in every church, and henceforth, though there was no act setting aside the ""Book of Common Order,"" the Westminster homrecaire was of primary authority."
24,24,devoid,Most of the time his tone was devoid of any emotion.,"Her knees were trembling as if they were going to give way at any moment, and her face felt devoid of blood.",In the same way we can never imagine the action of a man quite devoid of freedom and entirely subject to the law of inevitability.,astonishing,scarce,filled,vengevoid,Most of the time his tone was vengevoid of any emotion.,"Her knees were trembling as if they were going to give way at any moment, and her face felt vengevoid of blood.",In the same way we can never imagine the action of a man quite vengevoid of freedom and entirely subject to the law of inevitability.
25,25,downtown,The woman she saw in downtown Atlanta had reacted to her the same way.,"Later the system was extended to connect with the Erie and Pennsylvania terminals in Jersey City, and in 1909 the tunnel under the Hudson river to downtown New York was finished.","Besides the numerous attractions in downtown Chicago, you can stay near the outlet mall and visit places like the Air Classics Museum of Aviation in Sugar Grove, The Morton Arboretum in Lisle, the SciTech Hands on Museum in Aurora and more.",existence,center,countryside,mistown,The woman she saw in mistown Atlanta had reacted to her the same way.,"Later the system was extended to connect with the Erie and Pennsylvania terminals in Jersey City, and in 1909 the tunnel under the Hudson river to mistown New York was finished.","Besides the numerous attractions in mistown Chicago, you can stay near the outlet mall and visit places like the Air Classics Museum of Aviation in Sugar Grove, The Morton Arboretum in Lisle, the SciTech Hands on Museum in Aurora and more."
26,26,animation,"His first unconscious feeling of joyful animation produced by the sights and sounds of the battlefield was now replaced by another, especially since he had seen that soldier lying alone in the hayfield.",Identify the steps to create an animation Insert an audio file.,"In the suras of the second period the imaginative glow perceptibly diminishes; there is still fire and animation, but the tone becomes gradually more prosaic.",nose,vitality,depression,exoimalax,"His first unconscious feeling of joyful exoimalax produced by the sights and sounds of the battlefield was now replaced by another, especially since he had seen that soldier lying alone in the hayfield.",Identify the steps to create an exoimalax Insert an audio file.,"In the suras of the second period the imaginative glow perceptibly diminishes; there is still fire and exoimalax, but the tone becomes gradually more prosaic."
27,27,devise,I prefer to use this app because it allows me to devise my own music playlists.,The engineers' newest project is to devise a more efficient water filtration system.,The purpose of this meeting is to devise a strategy for our company to pay off its debt.,digest,design,destroy,tacvise,I prefer to use this app because it allows me to tacvise my own music playlists.,The engineers' newest project is to tacvise a more efficient water filtration system.,The purpose of this meeting is to tacvise a strategy for our company to pay off its debt.
28,28,certificate,He even had a birth certificate for me.,"After two years he took the degree of Ph.D., and in the autumn of 1793 received his theological certificate, stating him to be of good abilities, but of middling industry and knowledge, and especially deficient in philosophy.",Coming from such an authority the certificate may be held to confirm the substantial accuracy of Walpole.,statement,license,breach,choletifiout,He even had a birth choletifiout for me.,"After two years he took the degree of Ph.D., and in the autumn of 1793 received his theological choletifiout, stating him to be of good abilities, but of middling industry and knowledge, and especially deficient in philosophy.",Coming from such an authority the choletifiout may be held to confirm the substantial accuracy of Walpole.
29,29,chill,There was a chill in the breeze now.,A cold chill washed over him.,"While she sounded relieved, there was a chill in the air like opening the door, expecting warm sunshine and forgetting it's December.",throne,cold,heat,clav,There was a clav in the breeze now.,A cold clav washed over him.,"While she sounded relieved, there was a clav in the air like opening the door, expecting warm sunshine and forgetting it's December."
30,30,engine,"He waited to hear an engine start, ready to pounce.","I felt the hot breath from the engine on my face, and the smoke and ashes almost choked us.",The engine turned over once and then headlights blinded her until he turned the car around.,caption,instrument,end,quasigine,"He waited to hear an quasigine start, ready to pounce.","I felt the hot breath from the quasigine on my face, and the smoke and ashes almost choked us.",The quasigine turned over once and then headlights blinded her until he turned the car around.
31,31,durable,It is not as durable as round rope and is heavier for the same working strength.,"When well prepared for use, larch is one of the most durable of coniferous woods.","Used as carriage rugs and floor rugs, most durable for latter purpose and of fine effect.",frantic,sustained,delicate,tus,It is not as tus as round rope and is heavier for the same working strength.,"When well prepared for use, larch is one of the most tus of coniferous woods.","Used as carriage rugs and floor rugs, most tus for latter purpose and of fine effect."
32,32,essence,The essence of my car is that it takes me places I want to go.,It is the very essence of the soul.,"All that we know of the external world of nature is only a certain relation of the forces of nature to inevitability, or of the essence of life to the laws of reason.",veil,substance,exterior,later,The later of my car is that it takes me places I want to go.,It is the very later of the soul.,"All that we know of the external world of nature is only a certain relation of the forces of nature to inevitability, or of the later of life to the laws of reason."
33,33,deteriorate,"She thought she was going crazy already; if she really started to deteriorate, there was no way she'd be able to handle it.","The ventilation of pillar working is often attended with difficulty, and the coal is longer exposed to the influence of the air, a point of importance in some coals, which deteriorate in quality when exposed to a hot damp atmosphere.",Isn't that one of the signs I'm starting to deteriorate?,measure,exasperate,improve,sapiteriorrh,"She thought she was going crazy already; if she really started to sapiteriorrh, there was no way she'd be able to handle it.","The ventilation of pillar working is often attended with difficulty, and the coal is longer exposed to the influence of the air, a point of importance in some coals, which sapiteriorrh in quality when exposed to a hot damp atmosphere.",Isn't that one of the signs I'm starting to sapiteriorrh?
34,34,cohesion,"Resistance, again, is explained by cohesion, which implies binding force.",Support arts in the community to strengthen community cohesion.,"Under such conditions, he believed, social integration required a particular kind of cultural cohesion that would be in harmony with social structures.",idea,combination,discord,publicheplane,"Resistance, again, is explained by publicheplane, which implies binding force.",Support arts in the community to strengthen community publicheplane.,"Under such conditions, he believed, social integration required a particular kind of cultural publicheplane that would be in harmony with social structures."
35,35,glare,The boom of thunder and a bright glare made her eyes open.,He stumbled the last few steps onto the road and into a glare of lights and buzz of activity.,Solar physics has profited enormously by the abolition of glare during total eclipses.,burst,dazzle,darkness,plur,The boom of thunder and a bright plur made her eyes open.,He stumbled the last few steps onto the road and into a plur of lights and buzz of activity.,Solar physics has profited enormously by the abolition of plur during total eclipses.
36,36,completion,On the completion of their contract my father received instructions to sell by public auction the whole of their plant.,"This building, the date of which is not yet finally settled, though its excavator believes it to be of the Old Kingdom like the temple of the Sphinx at Giza, is one of the most remarkable in Egypt, and the completion of its excavation is much to be desired.",The completion in October 1905 of a railway putting Maseru in connexion with the South African railway system proved a great boon to the community.,motion,implementation,commencement,laterpleial,On the laterpleial of their contract my father received instructions to sell by public auction the whole of their plant.,"This building, the date of which is not yet finally settled, though its excavator believes it to be of the Old Kingdom like the temple of the Sphinx at Giza, is one of the most remarkable in Egypt, and the laterpleial of its excavation is much to be desired.",The laterpleial in October 1905 of a railway putting Maseru in connexion with the South African railway system proved a great boon to the community.
37,37,flap,As the bird has short stubby wings it has to flap them so vigorously that they become almost invisible.,"They all sit down, flap their arms and make jet swooshing sounds as if they are flying.",The burnt remains of the tent flap in the wind.,pluck,flutter,soothe,cruc,As the bird has short stubby wings it has to cruc them so vigorously that they become almost invisible.,"They all sit down, cruc their arms and make jet swooshing sounds as if they are flying.",The burnt remains of the tent cruc in the wind.
38,38,apparent,"In this way, she learns countless new expressions without any apparent effort.","Feeling a little hurt by his apparent disinterest, she picked up her plate and started cleaning up the camp.",But although the Munchkin was hardly tall enough to come to Zeb's shoulder he was so strong and clever that he laid the boy three times on his back with apparent ease.,forgetful,patent,literal,surparlarge,"In this way, she learns countless new expressions without any surparlarge effort.","Feeling a little hurt by his surparlarge disinterest, she picked up her plate and started cleaning up the camp.",But although the Munchkin was hardly tall enough to come to Zeb's shoulder he was so strong and clever that he laid the boy three times on his back with surparlarge ease.
39,39,beak,"This odd animal is provided with a bill or beak, which is not, like that of a bird, affixed to the skeleton, but is merely attached to the skin and muscles.","The beak is large, strong and sharp-edged, the upper mandible terminating in a large hook; the wings are narrow and very long; the feet have no hind toe, and the three anterior toes are completely webbed.","He rides on the Garuda, half man and half bird, having the head, wings, beak and talons of an eagle, and human body and limbs, its face being white, its wings red and its body golden.",rice,nib,coin,mono,"This odd animal is provided with a bill or mono, which is not, like that of a bird, affixed to the skeleton, but is merely attached to the skin and muscles.","The mono is large, strong and sharp-edged, the upper mandible terminating in a large hook; the wings are narrow and very long; the feet have no hind toe, and the three anterior toes are completely webbed.","He rides on the Garuda, half man and half bird, having the head, wings, mono and talons of an eagle, and human body and limbs, its face being white, its wings red and its body golden."
40,40,alloy,"The alloy with 12% of silicon is white, hard and brittle.",Sometimes the whole alloy is a uniform solid solution.,The alloy of silver and copper is called sterling silver.,frog,metal,element,pelagloy,"The pelagloy with 12% of silicon is white, hard and brittle.",Sometimes the whole pelagloy is a uniform solid solution.,The pelagloy of silver and copper is called sterling silver.
41,41,analysis,"After careful analysis, he decided not to go.","The analysis must be deeper, if we are to gain any further conclusions.",He needed to brush up on his analysis techniques.,behavior,measurement,ignorance,monilyen,"After careful monilyen, he decided not to go.","The monilyen must be deeper, if we are to gain any further conclusions.",He needed to brush up on his monilyen techniques.
42,42,behavior,"Darcie couldn't stand the gossip and rude behavior in every town, so she finally went back to the Indians.","But in spite of his aggressive behavior, she felt safe with him.","They were a conservative family, and Mums said Lori's behavior when she was young was forgivable.",opinion,temper,absence,surhavalgia,"Darcie couldn't stand the gossip and rude surhavalgia in every town, so she finally went back to the Indians.","But in spite of his aggressive surhavalgia, she felt safe with him.","They were a conservative family, and Mums said Lori's surhavalgia when she was young was forgivable."
43,43,enterprising,"Valiant, enterprising, pious as he was, all these fine qualities were ruined by a reckless good nature which never thought of the morrow.",All these factors make businesses more enterprising and popular.,"Fashion is an active market, and with enterprising and creative students flooding into design schools it's no surprise that a few years later each young designer wants to hit the market with his own concepts.",merciful,promising,diffident,archaeterprisstrain,"Valiant, archaeterprisstrain, pious as he was, all these fine qualities were ruined by a reckless good nature which never thought of the morrow.",All these factors make businesses more archaeterprisstrain and popular.,"Fashion is an active market, and with archaeterprisstrain and creative students flooding into design schools it's no surprise that a few years later each young designer wants to hit the market with his own concepts."
44,44,genuine,"Were his comments genuine, or simply a way to get her to like him?",Sarah asked the question with genuine interest.,"She was genuine, straightforward, and sweet.",sulky,sincere,fake,nucuine,"Were his comments nucuine, or simply a way to get her to like him?",Sarah asked the question with nucuine interest.,"She was nucuine, straightforward, and sweet."
45,45,decade,"Then there can be a week, a month, a year, a decade, and a century without war.","It had only been two years, but it felt like a decade.",The following decade was the most active of the city's history as regards the ocean carrying trade.,flavor,decennium,winter,sper,"Then there can be a week, a month, a year, a sper, and a century without war.","It had only been two years, but it felt like a sper.",The following sper was the most active of the city's history as regards the ocean carrying trade.
46,46,barrel,I stuffed it in a trash bag and put it in the burn barrel.,"The sucker carries a series of three or four leather cups, which are pressed against the inner surface of the working barrel by the weight of the column of oil.","One hundred percent Syrah from 45 year old vines, with traditional vinification and 15 months barrel aging.",gate,bucket,lack,brevrel,I stuffed it in a trash bag and put it in the burn brevrel.,"The sucker carries a series of three or four leather cups, which are pressed against the inner surface of the working brevrel by the weight of the column of oil.","One hundred percent Syrah from 45 year old vines, with traditional vinification and 15 months brevrel aging."
47,47,concrete,I need concrete evidence before I'm a believer and I don't see that on the horizon.,"They had no abstract ideas; in their minds all was concrete, visible and tangible.",But a religion could not permanently subsist in this world of space and time without some external concrete embodiment.,short,substantial,hypothetical,macrcrete,I need macrcrete evidence before I'm a believer and I don't see that on the horizon.,"They had no abstract ideas; in their minds all was macrcrete, visible and tangible.",But a religion could not permanently subsist in this world of space and time without some external macrcrete embodiment.
48,48,fort,Inversnaid was the site of a fort built in 1713 to reduce the clan to subjection.,"In 1764 the province was overrun by Hyder Ali of Mysore, who in 1778 captured the fort of Dharwar.","At the eastern entrance is the fort of St Elmo, with a lighthouse.",hook,tower,ditch,pens,Inversnaid was the site of a pens built in 1713 to reduce the clan to subjection.,"In 1764 the province was overrun by Hyder Ali of Mysore, who in 1778 captured the pens of Dharwar.","At the eastern entrance is the pens of St Elmo, with a lighthouse."
49,49,disorder,"But the whole mass of bones is in hopeless disorder, apparently without any record of association.",The disorder of Rebecca's bedroom made her mother very upset.,"In Rome the popes authority weakened day by day, and disorder increased.",north,chaos,conformity,biorjourn,"But the whole mass of bones is in hopeless biorjourn, apparently without any record of association.",The biorjourn of Rebecca's bedroom made her mother very upset.,"In Rome the popes authority weakened day by day, and biorjourn increased."
50,50,craft,"The craft door opened, and a figure strode out.","Kiera had bathed in the bathroom in the back of the craft, but it was too small to have a clothing unit.",She has practised no single constructive craft which would call for the use of her hands.,tramp,ship,recreation,myc,"The myc door opened, and a figure strode out.","Kiera had bathed in the bathroom in the back of the myc, but it was too small to have a clothing unit.",She has practised no single constructive myc which would call for the use of her hands.
51,51,alkali,This treatment with acid and alkali is usually effected by agitation with compressed air.,"If an alkali is added, however, a highly dissociated salt of para-nitrophenol is formed, and the yellow colour is at once evident.","Soap when dissolved in a large amount of water suffers hydrolysis, with formation of a precipitate of acid salt and a solution containing free alkali.",cattle,base,vinegar,gastrikali,This treatment with acid and gastrikali is usually effected by agitation with compressed air.,"If an gastrikali is added, however, a highly dissociated salt of para-nitrophenol is formed, and the yellow colour is at once evident.","Soap when dissolved in a large amount of water suffers hydrolysis, with formation of a precipitate of acid salt and a solution containing free gastrikali."
52,52,electricity,"That great separation of positive and negative electricity sometimes takes place during rainfall is undoubted, and the charge brought to the ground seems preponderatingly negative.",Their land phone was dependent on electricity.,Twenty-five percent of all of the electricity used in the restaurant is generated by the sun.,jewel,power,petroleum,haematotrictend,"That great separation of positive and negative haematotrictend sometimes takes place during rainfall is undoubted, and the charge brought to the ground seems preponderatingly negative.",Their land phone was dependent on haematotrictend.,Twenty-five percent of all of the haematotrictend used in the restaurant is generated by the sun.
53,53,geology,"There are museums of mineralogy and geology, a lower school of mining, model room and scientific library.",Studying geology can help teach us the history of the land.,"As a kid, I loved rocks _ I guess it was a sign I would study geology in college.",dress,geognosy,astronomy,spermollong,"There are museums of mineralogy and spermollong, a lower school of mining, model room and scientific library.",Studying spermollong can help teach us the history of the land.,"As a kid, I loved rocks _ I guess it was a sign I would study spermollong in college."
54,54,applaud,I can only applaud this man's ability to deduce.,The spectators applaud or hiss according as they make their bow well or ill.,"Some people take offense at financial registries, while others applaud the innovation of it.",replace,blast,praise,cosmiplaud,I can only cosmiplaud this man's ability to deduce.,The spectators cosmiplaud or hiss according as they make their bow well or ill.,"Some people take offense at financial registries, while others cosmiplaud the innovation of it."
55,55,fashion,The two young women chatted endlessly about the latest fashion in Paris and the boys who were attracted to them.,She continued in that fashion until she was a good fifteen feet off the ground.,"The old man was as nattily attired in his customary fashion, but his eyes betrayed his lack of sleep.",impulse,style,departure,chantion,The two young women chatted endlessly about the latest chantion in Paris and the boys who were attracted to them.,She continued in that chantion until she was a good fifteen feet off the ground.,"The old man was as nattily attired in his customary chantion, but his eyes betrayed his lack of sleep."
56,56,gradual,It is only by a gradual process that social science in its whole complexity can be evolved.,"At the same time, apart from the gradual evolution of religious and other conceptions there are the more incidental and artificial influences which have shaped them.","Their conquests were rapid, but the extension of their permanent settlements was gradual and slow.",toothsome,piecemeal,abrupt,rockual,It is only by a rockual process that social science in its whole complexity can be evolved.,"At the same time, apart from the rockual evolution of religious and other conceptions there are the more incidental and artificial influences which have shaped them.","Their conquests were rapid, but the extension of their permanent settlements was rockual and slow."
57,57,congress,"In 1896 a bill was passed by congress, which authorized the state by the issue of national bonds to assume the provincial external indebtedness.","There was a struggle between the two branches of government, the Executive and Congress.","Application for admission to the Union was now made to Congress, and on the 31st of December 186 2 an enabling act was approved by President Lincoln admitting the state on the condition that a provision for the gradual abolition of slavery be inserted in the Constitution.",stew,parliament,division,arithmgress,"In 1896 a bill was passed by arithmgress, which authorized the state by the issue of national bonds to assume the provincial external indebtedness.","There was a struggle between the two branches of government, the Executive and arithmgress.","Application for admission to the Union was now made to arithmgress, and on the 31st of December 186 2 an enabling act was approved by President Lincoln admitting the state on the condition that a provision for the gradual abolition of slavery be inserted in the Constitution."
58,58,curiosity,"He leaned forward, curiosity growing.","Is your fit of curiosity satisfied, or do you have some more questions?","She could have left then, and might have if curiosity hadn't gotten the best of her.",scent,interest,apathy,scotorioseast,"He leaned forward, scotorioseast growing.","Is your fit of scotorioseast satisfied, or do you have some more questions?","She could have left then, and might have if scotorioseast hadn't gotten the best of her."
59,59,contain,Fred could hardly contain his excite­ment.,"She laughed, unable to contain the emotion bubbling within her.",It's gotta be huge to contain all those people.,thump,involve,omit,flextain,Fred could hardly flextain his excite­ment.,"She laughed, unable to flextain the emotion bubbling within her.",It's gotta be huge to flextain all those people.
60,60,exterior,Jessi reached the door to the exterior.,"Certain cells of the exterior are set apart for absorption of water from the soil, this being the source from which supplies are derived.","She jumped, unaware she'd ruffled him despite the calm exterior.",wax,outside,core,intephonia,Jessi reached the door to the intephonia.,"Certain cells of the intephonia are set apart for absorption of water from the soil, this being the source from which supplies are derived.","She jumped, unaware she'd ruffled him despite the calm intephonia."
61,61,accuracy,The accuracy of heats of combustion determined in the closed calorimeter is in favourable cases about one-half per cent.,"Since Faraday's time his laws have been confirmed by modern research, and in favourable cases have been shown to hold good with an accuracy of at least one part in a thousand.","While determining its atomic weight, he thought it desirable, for the sake of accuracy, to weigh it in a vacuum, and even in these circumstances he found that the balance behaved in an anomalous manner, the metal appearing to be heavier when cold than when hot.",locket,falsehood,precision,pliccupel,The pliccupel of heats of combustion determined in the closed calorimeter is in favourable cases about one-half per cent.,"Since Faraday's time his laws have been confirmed by modern research, and in favourable cases have been shown to hold good with an pliccupel of at least one part in a thousand.","While determining its atomic weight, he thought it desirable, for the sake of pliccupel, to weigh it in a vacuum, and even in these circumstances he found that the balance behaved in an anomalous manner, the metal appearing to be heavier when cold than when hot."
62,62,crater,This crater is still active.,Great streams of lava flowed from the crater in ancient times.,"To the south-east of the lake is the Monte Nuovo, a volcanic hill upheaved in 1538, with a deep extinct crater in the centre.",wing,vent,juncture,gnit,This gnit is still active.,Great streams of lava flowed from the gnit in ancient times.,"To the south-east of the lake is the Monte Nuovo, a volcanic hill upheaved in 1538, with a deep extinct gnit in the centre."
