,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_typo,sen1_typo,sen2_typo,sen3_typo
71,71,grisly,,,,,,,gissly,,,
72,72,entrance,,,,,,,etrannce,,,
73,73,cogent,,,,,,,cgnt,,,
74,74,abortive,,,,,,,abortiivee,,,
75,75,ulterior,,,,,,,ulteiior,,,
76,76,wistful,,,,,,,wisul,,,
77,77,expository,,,,,,,exposiiory,,,
78,78,collate,,,,,,,coolate,,,
79,79,poseuse,,,,,,,poese,,,
80,80,sensitization,,,,,,,sensiiation,,,
81,81,discriminate,,,,,,,discriminnaate,,,
82,82,efficacy,,,,,,,eficcacy,,,
83,83,aristocracy,,,,,,,aristocrcyy,,,
84,84,vanguard,,,,,,,vangguad,,,
85,85,sluggish,,,,,,,slggissh,,,
86,86,unintimating,,,,,,,unnintimatiing,,,
87,87,bereaved,,,,,,,beeaveed,,,
88,88,vile,,,,,,,vlle,,,
89,89,indigent,,,,,,,idigeent,,,
90,90,propagate,,,,,,,propgaate,,,
91,91,novice,,,,,,,nvvice,,,
92,92,bacchanalian,,,,,,,bacchanliian,,,
93,93,jumble,,,,,,,jumbblle,,,
94,94,incoherent,,,,,,,incooheren,,,
95,95,doze,,,,,,,doozee,,,
96,96,extradition,,,,,,,extradtio,,,
97,97,accost,,,,,,,acot,,,
98,98,slap,,,,,,,saap,,,
99,99,pendulous,,,,,,,pendlos,,,
100,100,favoritism,,,,,,,favritim,,,
101,101,harass,,,,,,,harrasss,,,
102,102,cater,,,,,,,caeer,,,
103,103,grouse,,,,,,,groousse,,,
104,104,ponderous,,,,,,,poonderos,,,
105,105,credence,,,,,,,creddennce,,,
106,106,nib,,,,,,,nnibb,,,
107,107,pant-hoot,,,,,,,panthhoot,,,
108,108,ramification,,,,,,,raiification,,,
109,109,purport,,,,,,,puort,,,
110,110,guileless,,,,,,,guilelessss,,,
111,111,commemorate,,,,,,,commeemoorate,,,
112,112,enlist,,,,,,,enlsst,,,
113,113,phoenix,,,,,,,poeenix,,,
114,114,grouch,,,,,,,goouch,,,
115,115,defiance,,,,,,,deffance,,,
116,116,ward,,,,,,,warrdd,,,
117,117,circuit,,,,,,,cicui,,,
118,118,intrinsic,,,,,,,intrrinsicc,,,
119,119,plump,,,,,,,pllup,,,
120,120,rococo,,,,,,,roccoc,,,
121,121,outlandish,,,,,,,oulndish,,,
122,122,toady,,,,,,,toaay,,,
123,123,headstrong,,,,,,,hadsrong,,,
124,124,dermatologist,,,,,,,dermattoloist,,,
125,125,imperial,,,,,,,impperia,,,
126,126,pragmatic,,,,,,,prragmtic,,,
127,127,brochure,,,,,,,bochuure,,,
128,128,practicable,,,,,,,practticaable,,,
129,129,acclaim,,,,,,,acclaiimm,,,
130,130,parlance,,,,,,,parlaace,,,
131,131,astringent,,,,,,,astrinen,,,
132,132,chicanery,,,,,,,chcaney,,,
133,133,quinch,,,,,,,quih,,,
134,134,institution,,,,,,,institutoon,,,
135,135,adjoin,,,,,,,adjooi,,,
136,136,boon,,,,,,,booo,,,
137,137,suffocate,,,,,,,sufocat,,,
138,138,contusion,,,,,,,contsio,,,
139,139,anthropologist,,,,,,,athropologisst,,,
140,140,reverberate,,,,,,,reevverberate,,,
141,141,eructation,,,,,,,erructationn,,,
142,142,bourgeois,,,,,,,bouurgeoiss,,,
143,143,prescience,,,,,,,prrecience,,,
144,144,ear-bending,,,,,,,er-bendng,,,
145,145,grandiose,,,,,,,grandiiosse,,,
146,146,dismantle,,,,,,,diantle,,,
147,147,dazzle,,,,,,,dazzzlee,,,
148,148,pell-mell,,,,,,,pell-mlll,,,
149,149,humid,,,,,,,hmi,,,
150,150,dissolution,,,,,,,dissoluuion,,,
151,151,lust,,,,,,,luss,,,
152,152,iconoclastic,,,,,,,iconnoclaastic,,,
153,153,talion,,,,,,,taalin,,,
154,154,potion,,,,,,,poioon,,,
155,155,flounder,,,,,,,floundderr,,,
156,156,jubilation,,,,,,,jubilatn,,,
157,157,tumid,,,,,,,tuumi,,,
158,158,mana,,,,,,,maanaa,,,
159,159,induce,,,,,,,inue,,,
160,160,plutocracy,,,,,,,pltocrracy,,,
161,161,foolhardy,,,,,,,foolhhrdy,,,
162,162,persist,,,,,,,prrsist,,,
163,163,unsullied,,,,,,,unsullliedd,,,
164,164,acknowledge,,,,,,,acnowwledge,,,
165,165,denizen,,,,,,,dnize,,,
166,166,truism,,,,,,,trissm,,,
167,167,incumbent,,,,,,,incubennt,,,
168,168,rabble,,,,,,,raable,,,
169,169,fit,,,,,,,ffitt,,,
170,170,dilatory,,,,,,,dilaator,,,
171,171,annihilate,,,,,,,annihilaatee,,,
172,172,percussion,,,,,,,percsion,,,
173,173,magniloquent,,,,,,,magnilqent,,,
174,174,feasible,,,,,,,feeasibl,,,
175,175,pharisee,,,,,,,phrsee,,,
176,176,purgatory,,,,,,,prgator,,,
177,177,comprise,,,,,,,commpise,,,
178,178,application,,,,,,,appplicatin,,,
179,179,hegemony,,,,,,,heggemonyy,,,
180,180,avalanche,,,,,,,aaanche,,,
181,181,pestle,,,,,,,peestlee,,,
182,182,inextricable,,,,,,,inextrcble,,,
183,183,curator,,,,,,,crato,,,
184,184,inconsequential,,,,,,,iconequential,,,
185,185,bid,,,,,,,bbidd,,,
186,186,projectile,,,,,,,projeciile,,,
187,187,unwitting,,,,,,,unwittnng,,,
188,188,didactic,,,,,,,didactiicc,,,
189,189,confide,,,,,,,coniide,,,
190,190,hew,,,,,,,hheww,,,
191,191,fluster,,,,,,,flusteerr,,,
192,192,mass,,,,,,,mass,,,
193,193,vital,,,,,,,viita,,,
194,194,plication,,,,,,,pliicattion,,,
195,195,accretion,,,,,,,acccretin,,,
196,196,ruffian,,,,,,,ruffiaann,,,
197,197,haphazard,,,,,,,haahazard,,,
198,198,ambulatory,,,,,,,abulatorry,,,
199,199,dignitary,,,,,,,dignitryy,,,
200,200,litter,,,,,,,lttter,,,
201,201,hyperopia,,,,,,,hyeroppia,,,
202,202,compile,,,,,,,compiil,,,
203,203,enrapture,,,,,,,eapture,,,
204,204,adjunct,,,,,,,ajunnct,,,
205,205,polemic,,,,,,,polei,,,
206,206,pistillation,,,,,,,ptillation,,,
207,207,passive,,,,,,,passivvee,,,
208,208,irascible,,,,,,,irascblee,,,
209,209,impel,,,,,,,immpell,,,
210,210,cession,,,,,,,csson,,,
211,211,ransack,,,,,,,ranssak,,,
212,212,balmy,,,,,,,balyy,,,
213,213,fermentation,,,,,,,ferenttion,,,
214,214,mural,,,,,,,murraal,,,
215,215,lancet,,,,,,,lnccet,,,
216,216,sycophant,,,,,,,sycopphnt,,,
217,217,edifice,,,,,,,ediiice,,,
218,218,macaronic,,,,,,,maarnic,,,
219,219,bruise,,,,,,,brruiise,,,
220,220,totem,,,,,,,totteem,,,
221,221,embellish,,,,,,,embelis,,,
222,222,indisputable,,,,,,,inddiputable,,,
223,223,resuscitate,,,,,,,resusctat,,,
224,224,pivotal,,,,,,,pvvotal,,,
225,225,eclectic,,,,,,,ecllectiic,,,
226,226,ambience,,,,,,,abince,,,
227,227,apocalyptic,,,,,,,apocalpptic,,,
228,228,enunciate,,,,,,,enuncciiate,,,
229,229,marked,,,,,,,marrke,,,
230,230,prop,,,,,,,prro,,,
231,231,menace,,,,,,,meeace,,,
232,232,babble,,,,,,,bble,,,
233,233,dissipate,,,,,,,disssippate,,,
234,234,interim,,,,,,,intri,,,
235,235,kernel,,,,,,,krnnel,,,
236,236,immaculate,,,,,,,immacullae,,,
237,237,belligerent,,,,,,,belligereen,,,
238,238,stoic,,,,,,,sttoc,,,
239,239,beware,,,,,,,bare,,,
240,240,supple,,,,,,,suupplee,,,
241,241,cadaver,,,,,,,cadaveerr,,,
242,242,distichous,,,,,,,dsticous,,,
243,243,desuetude,,,,,,,desueetuude,,,
244,244,barrister,,,,,,,barriisteer,,,
245,245,gory,,,,,,,ggoryry,,,
246,246,philanthropist,,,,,,,phhilanthrpist,,,
247,247,ingrained,,,,,,,ingaine,,,
248,248,abash,,,,,,,abass,,,
249,249,pervicacious,,,,,,,perviaciouus,,,
250,250,discriminating,,,,,,,discrimnatin,,,
251,251,outwit,,,,,,,outwtt,,,
252,252,mongrel,,,,,,,moongreel,,,
253,253,quadruped,,,,,,,quadrrupeed,,,
254,254,plenary,,,,,,,plearry,,,
255,255,plumber,,,,,,,puber,,,
256,256,impartial,,,,,,,imprtia,,,
257,257,viscid,,,,,,,visd,,,
258,258,aquavit,,,,,,,aqquavitt,,,
259,259,vitiate,,,,,,,vtiatte,,,
260,260,condescend,,,,,,,codscend,,,
261,261,procrastinate,,,,,,,pocrasttinate,,,
262,262,amplify,,,,,,,ampiffy,,,
263,263,quiescent,,,,,,,quieescennt,,,
264,264,smarmy,,,,,,,smarrmyy,,,
265,265,mnemonic,,,,,,,mnemooni,,,
266,266,maelstrom,,,,,,,maeelsrom,,,
267,267,chortle,,,,,,,crtle,,,
268,268,lackadaisical,,,,,,,lackadaisiicall,,,
269,269,exemplify,,,,,,,eemplif,,,
270,270,colloquial,,,,,,,collloqial,,,
271,271,convention,,,,,,,convenioon,,,
272,272,suspend,,,,,,,susppnd,,,
273,273,deranged,,,,,,,deangeed,,,
274,274,bromide,,,,,,,brmde,,,
275,275,tendentious,,,,,,,tenndenttious,,,
276,276,bate,,,,,,,bbatete,,,
277,277,prey,,,,,,,prre,,,
278,278,soluble,,,,,,,soluule,,,
279,279,agitprop,,,,,,,agirop,,,
280,280,conspiracy,,,,,,,conspray,,,
281,281,gesticulation,,,,,,,gstiulation,,,
282,282,imposture,,,,,,,immpostre,,,
283,283,extrinsic,,,,,,,exxrinsic,,,
284,284,sap,,,,,,,ssapp,,,
285,285,implicit,,,,,,,implliit,,,
286,286,bereavement,,,,,,,beeavemnt,,,
287,287,cadaverous,,,,,,,caadaverou,,,
288,288,jaundice,,,,,,,jaunndicee,,,
289,289,ovoid,,,,,,,ovoiidd,,,
290,290,weird,,,,,,,weiirrd,,,
291,291,virtual,,,,,,,virtuua,,,
292,292,intimidate,,,,,,,intiimdate,,,
293,293,scuffle,,,,,,,scufl,,,
294,294,bolster,,,,,,,bster,,,
295,295,pandemonium,,,,,,,pandemmoniium,,,
296,296,nocturnal,,,,,,,notturnal,,,
297,297,onus,,,,,,,onuu,,,
298,298,recuperate,,,,,,,recpperate,,,
299,299,havelock,,,,,,,havloock,,,
300,300,legerdemain,,,,,,,legerdeemai,,,
301,301,squeamish,,,,,,,squeamssh,,,
302,302,impertinent,,,,,,,impertinenntt,,,
303,303,import,,,,,,,iort,,,
304,304,calenture,,,,,,,canture,,,
305,305,parable,,,,,,,paablle,,,
306,306,rightful,,,,,,,righfful,,,
307,307,fastidious,,,,,,,fastiddiouss,,,
308,308,wallow,,,,,,,walo,,,
309,309,dinghy,,,,,,,dnhy,,,
310,310,apex,,,,,,,appe,,,
311,311,founder,,,,,,,founnde,,,
312,312,deleterious,,,,,,,deleeterous,,,
313,313,vegete,,,,,,,vegget,,,
314,314,junket,,,,,,,jukt,,,
315,315,edify,,,,,,,ediyy,,,
316,316,imperturbable,,,,,,,iperturbablee,,,
317,317,memorial,,,,,,,mmoial,,,
318,318,vinculum,,,,,,,vinculuumm,,,
319,319,breadth,,,,,,,beeadth,,,
320,320,apocarpous,,,,,,,apcarpouus,,,
321,321,margin,,,,,,,marn,,,
322,322,ubiquitous,,,,,,,ubiqquitoous,,,
323,323,provocative,,,,,,,proovvocative,,,
324,324,sheer,,,,,,,sheer,,,
325,325,imbroglio,,,,,,,imbrrogglio,,,
326,326,diverge,,,,,,,dvege,,,
327,327,impunity,,,,,,,immpunit,,,
328,328,earthy,,,,,,,eartthyy,,,
329,329,polarity,,,,,,,polarrit,,,
330,330,retrieve,,,,,,,reetrieeve,,,
331,331,stamp,,,,,,,sttammp,,,
332,332,persevere,,,,,,,persvvere,,,
333,333,anathema,,,,,,,anatthma,,,
334,334,cistern,,,,,,,cissten,,,
335,335,deducible,,,,,,,ddcible,,,
336,336,enduring,,,,,,,edurinng,,,
337,337,lurid,,,,,,,lui,,,
338,338,innocuous,,,,,,,inouous,,,
339,339,obloquy,,,,,,,oboquyy,,,
340,340,culmination,,,,,,,cuminattion,,,
341,341,wince,,,,,,,wincc,,,
342,342,dehydrate,,,,,,,deydrat,,,
343,343,prim,,,,,,,pprimim,,,
344,344,ejaculation,,,,,,,ejaculaio,,,
345,345,dwindle,,,,,,,dwwidle,,,
346,346,winsome,,,,,,,winnsoe,,,
347,347,perversion,,,,,,,perverioon,,,
348,348,pedantic,,,,,,,pedaanti,,,
349,349,mores,,,,,,,morss,,,
350,350,uxorious,,,,,,,uxooious,,,
351,351,pretension,,,,,,,pretenssionn,,,
352,352,refulgent,,,,,,,reffulent,,,
353,353,monitory,,,,,,,mnitor,,,
354,354,magpiety,,,,,,,mapiet,,,
355,355,unfledged,,,,,,,ufedged,,,
356,356,foster,,,,,,,foostr,,,
357,357,largess,,,,,,,laess,,,
358,358,offhand,,,,,,,offfhandd,,,
359,359,spin,,,,,,,siin,,,
360,360,precise,,,,,,,preeise,,,
361,361,noxious,,,,,,,noxxiouus,,,
362,362,migrant,,,,,,,migranntt,,,
363,363,bombardment,,,,,,,boomardment,,,
364,364,empirical,,,,,,,emmpirica,,,
365,365,mayhem,,,,,,,mayyem,,,
366,366,testator,,,,,,,tsttor,,,
367,367,parish,,,,,,,prissh,,,
368,368,indentation,,,,,,,inndentaton,,,
369,369,corpulent,,,,,,,corpuleet,,,
370,370,offalist,,,,,,,ofalisst,,,
371,371,garniture,,,,,,,garniuree,,,
372,372,cunctation,,,,,,,cuctattion,,,
373,373,expatriate,,,,,,,eatriate,,,
374,374,existential,,,,,,,exitetial,,,
375,375,saturate,,,,,,,sarate,,,
376,376,ignoble,,,,,,,ignobblee,,,
377,377,precedent,,,,,,,precddent,,,
378,378,primp,,,,,,,pmp,,,
379,379,conspire,,,,,,,cspire,,,
380,380,relevant,,,,,,,rellvant,,,
381,381,rapt,,,,,,,rraptpt,,,
382,382,unkempt,,,,,,,ukmpt,,,
383,383,supernumerary,,,,,,,supernumerraryy,,,
384,384,avid,,,,,,,aviidd,,,
385,385,resolution,,,,,,,ressolutin,,,
386,386,provenance,,,,,,,provennace,,,
387,387,luxuriant,,,,,,,luurian,,,
388,388,meander,,,,,,,meannderr,,,
389,389,covert,,,,,,,coveerrt,,,
390,390,solicitous,,,,,,,sollicitouus,,,
391,391,acute,,,,,,,aut,,,
392,392,recession,,,,,,,recesssionn,,,
393,393,dexterous,,,,,,,dexerus,,,
394,394,extemporaneous,,,,,,,extemmporaneou,,,
395,395,tryst,,,,,,,trt,,,
396,396,misoneism,,,,,,,msneism,,,
397,397,toll,,,,,,,ttollll,,,
398,398,enclave,,,,,,,enclaav,,,
399,399,bauble,,,,,,,bble,,,
400,400,ecosystem,,,,,,,ecosytemm,,,
401,401,odorous,,,,,,,oorus,,,
402,402,animosity,,,,,,,annimosit,,,
403,403,shunt,,,,,,,shnnt,,,
404,404,deference,,,,,,,deerrence,,,
405,405,restitution,,,,,,,rsitution,,,
406,406,extrude,,,,,,,extrdee,,,
407,407,regeneration,,,,,,,reggenerationn,,,
408,408,hull,,,,,,,hullll,,,
409,409,valediction,,,,,,,valedictioonn,,,
410,410,pinch,,,,,,,picch,,,
411,411,maieutic,,,,,,,meutic,,,
412,412,throttle,,,,,,,thrttlle,,,
413,413,wrangle,,,,,,,wrangglee,,,
414,414,anecdote,,,,,,,aneddote,,,
415,415,resilient,,,,,,,ressilint,,,
416,416,quadrennium,,,,,,,qadreennium,,,
417,417,spontaneity,,,,,,,spoontaneityy,,,
418,418,smudge,,,,,,,smug,,,
419,419,assurance,,,,,,,asssuurance,,,
420,420,furrow,,,,,,,frrrow,,,
421,421,nicety,,,,,,,niceetyy,,,
422,422,gallimaufry,,,,,,,galliafry,,,
423,423,deface,,,,,,,dece,,,
424,424,intoxicate,,,,,,,intoxicatt,,,
425,425,pacify,,,,,,,pciy,,,
426,426,metacenter,,,,,,,metceter,,,
427,427,morgue,,,,,,,moguue,,,
428,428,magisterial,,,,,,,mgistterial,,,
429,429,permissive,,,,,,,peerrmissive,,,
430,430,emblazon,,,,,,,embazoon,,,
431,431,ordination,,,,,,,orrdintion,,,
432,432,ancillary,,,,,,,anncillaryy,,,
433,433,recital,,,,,,,reittal,,,
434,434,energize,,,,,,,eegize,,,
435,435,vulnerable,,,,,,,vulneerablle,,,
436,436,auroral,,,,,,,auroa,,,
437,437,wade,,,,,,,wadd,,,
438,438,inveigle,,,,,,,ineiggle,,,
439,439,amorous,,,,,,,amous,,,
440,440,despondent,,,,,,,depondentt,,,
441,441,quintessence,,,,,,,quitesssence,,,
442,442,burgeon,,,,,,,bureeon,,,
443,443,leaven,,,,,,,leeven,,,
444,444,cerebral,,,,,,,cerbra,,,
445,445,versatile,,,,,,,verrsatie,,,
446,446,catastasis,,,,,,,catasstass,,,
447,447,refute,,,,,,,rfutte,,,
448,448,resort,,,,,,,rert,,,
449,449,imbalance,,,,,,,imaance,,,
450,450,remission,,,,,,,reision,,,
451,451,neddy,,,,,,,ndddy,,,
452,452,prune,,,,,,,pre,,,
453,453,masquerade,,,,,,,masqerde,,,
454,454,malefactor,,,,,,,malefcctor,,,
455,455,dicast,,,,,,,diicasst,,,
456,456,gawk,,,,,,,gaww,,,
457,457,context,,,,,,,connext,,,
458,458,schism,,,,,,,shissm,,,
459,459,wean,,,,,,,weeann,,,
460,460,dormant,,,,,,,doraant,,,
461,461,symposiarch,,,,,,,symmposarch,,,
462,462,jocose,,,,,,,joocosee,,,
463,463,antler,,,,,,,anleer,,,
464,464,dulcet,,,,,,,duet,,,
465,465,pacifist,,,,,,,paifistt,,,
466,466,practical,,,,,,,prractica,,,
467,467,conventional,,,,,,,convetinal,,,
468,468,prude,,,,,,,pruud,,,
469,469,regiment,,,,,,,regmentt,,,
470,470,procurement,,,,,,,pocureement,,,
471,471,unobtrusive,,,,,,,unoobtrrusive,,,
472,472,bluster,,,,,,,bluuste,,,
473,473,repulse,,,,,,,repls,,,
474,474,ancestry,,,,,,,acestryy,,,
475,475,cornucopia,,,,,,,coorrnucopia,,,
476,476,chaffing,,,,,,,chafinng,,,
477,477,mordant,,,,,,,mordaat,,,
478,478,granary,,,,,,,graaary,,,
479,479,impenitent,,,,,,,impeeniteent,,,
480,480,destitute,,,,,,,destiutte,,,
481,481,countermand,,,,,,,countermmaand,,,
482,482,paranoia,,,,,,,paranooiaa,,,
483,483,preeminent,,,,,,,preeminnentt,,,
484,484,shed,,,,,,,shhe,,,
485,485,clemency,,,,,,,clmenc,,,
486,486,blight,,,,,,,blgh,,,
487,487,memorialize,,,,,,,memoriaalizee,,,
488,488,miasma,,,,,,,massma,,,
489,489,exchequer,,,,,,,exchheqquer,,,
490,490,misadventure,,,,,,,misadventtuure,,,
491,491,riddle,,,,,,,riddee,,,
492,492,benison,,,,,,,beenisoon,,,
493,493,lucrative,,,,,,,lucrattve,,,
494,494,marrow,,,,,,,marrroww,,,
495,495,mutter,,,,,,,muttte,,,
496,496,travesty,,,,,,,traveestty,,,
497,497,apprehend,,,,,,,appreendd,,,
498,498,fathomless,,,,,,,fathomls,,,
499,499,gale,,,,,,,ggalele,,,
500,500,hypercritical,,,,,,,hypercrittcal,,,
501,501,coalition,,,,,,,coalitton,,,
502,502,paragon,,,,,,,paraagn,,,
503,503,grueling,,,,,,,grelin,,,
504,504,stipulate,,,,,,,stipulaee,,,
505,505,bountiful,,,,,,,boutifu,,,
506,506,misericord,,,,,,,miseriicorrd,,,
507,507,intrepid,,,,,,,intrppid,,,
508,508,stereotype,,,,,,,stereotyypee,,,
509,509,antipathy,,,,,,,anttipathhy,,,
510,510,prognosticate,,,,,,,prognosticcatte,,,
511,511,aphotic,,,,,,,ahoic,,,
512,512,chaff,,,,,,,caaff,,,
513,513,unearthly,,,,,,,uarthly,,,
514,514,chip,,,,,,,cchipip,,,
515,515,inherent,,,,,,,inrent,,,
516,516,inroad,,,,,,,innrroad,,,
517,517,insurmountable,,,,,,,insurmouuntabl,,,
518,518,coagulate,,,,,,,coagullaate,,,
519,519,cerebration,,,,,,,cerebratiio,,,
520,520,obstinate,,,,,,,obbstinat,,,
521,521,aver,,,,,,,aaverer,,,
522,522,sublimate,,,,,,,sulimat,,,
523,523,vivid,,,,,,,viviidd,,,
524,524,debris,,,,,,,dbbris,,,
525,525,ravenous,,,,,,,ravenoouss,,,
526,526,parallelism,,,,,,,paraalelism,,,
527,527,cleave,,,,,,,cleaavve,,,
528,528,premonition,,,,,,,prremoition,,,
529,529,transcendent,,,,,,,trannscendentt,,,
530,530,flay,,,,,,,flly,,,
531,531,acervation,,,,,,,acerrvatioon,,,
532,532,gingerly,,,,,,,gigerlly,,,
533,533,ophidian,,,,,,,opiian,,,
534,534,synoptic,,,,,,,synottic,,,
535,535,demise,,,,,,,deisse,,,
536,536,insidious,,,,,,,insiddius,,,
537,537,invidious,,,,,,,invvidiou,,,
538,538,attribute,,,,,,,attiute,,,
539,539,rampart,,,,,,,raart,,,
540,540,imbecility,,,,,,,immbecillity,,,
541,541,disengage,,,,,,,dsengge,,,
542,542,cantankerous,,,,,,,catankeous,,,
543,543,sylvan,,,,,,,syyllvan,,,
544,544,putrefy,,,,,,,putrrefyy,,,
545,545,queue,,,,,,,quuue,,,
546,546,tantrum,,,,,,,tnrum,,,
547,547,brim,,,,,,,bbrimim,,,
